username,profileUrl,fullName,audienceSegment,country,countryConfidence,excludedCountry,excludedCountryConfidence,marketEligible,followersCount,medianReelViews,reelsMeasured,estimatedContractPriceGBP,supplementScore,rejectionReason,discoveredBy,bio
active.nutrition.b26,https://www.instagram.com/active.nutrition.b26/,Active Nutrition,Supplement reviews,UK,3,,0,true,3276,607,12,50,25,medianReelViews outside range (607),supplement reviews Birmingham; supplements Birmingham; protein powder Birmingham,"💥 FUEL YOUR PERFORMANCE 💥
⚡️ Pre • Protein • Creatine 
🥤 Fresh Shakes Daily 
📍 Birmingham"
supplementsmadesimple,https://www.instagram.com/supplementsmadesimple/,Supplements Made Simple by Dr. Doireann,Supplement reviews,Ireland,3,,0,true,66453,685,12,60,12,medianReelViews outside range (685),supplement reviews Ireland,"Award-winning Collagen🏆
Created by @dr.doireannoleary👩🏼‍⚕️
Evidence-based beauty + health 🧬
Doctor-approved 🩺
All Collagen 3 for 2 🛒"
popeyes_yorkdale,https://www.instagram.com/popeyes_yorkdale/,Popeye's Supplements Yorkdale,Supplement reviews,Canada,4,France,1,false,2410,134,12,10,25,non-target country: France; medianReelViews outside range (134),supplement reviews Toronto,"The Best In Health And Sports Nutrition Supplements!🏆
Best Service. Best Selection. Best Price!🌎
Toronto🇨🇦
📍3350 Dufferin St.   
📍1980 St Clair Ave W."
popeyessupplements_toronto,https://www.instagram.com/popeyessupplements_toronto/,Popeye's Supplements Toronto,Supplement reviews,Canada,2,,0,true,24076,2676,12,240,23,included,supplement reviews Toronto; supplements Toronto,"Toronto’s #1 Supplement Destination
🏆 Trusted Products | Unbeatable prices
🇨🇦 The best since 1989
🔗 Shop, find a store and more below"
supplementworldnorthvan,https://www.instagram.com/supplementworldnorthvan/,Supplement World North Vancouver,Supplement reviews,Canada,1,,0,true,1636,338,12,30,15,medianReelViews outside range (338),supplement reviews Vancouver,"Best Service | Best Selection | Best Prices 
Locally Owned and Operated"
supplementworldkitsilano,https://www.instagram.com/supplementworldkitsilano/,Supplement World Vancouver(Kitsilano),Supplement reviews,Canada,4,Brazil,1,true,1327,288,12,30,25,medianReelViews outside range (288),supplement reviews Vancouver; supplements Vancouver,"Locally Owned and Operated 
Best Service | Best Selection | Best Prices
Transparency, Quality, Results
Best Protein Shakes - 30 Plus Flavours"
supplement_house,https://www.instagram.com/supplement_house/,سابلمنت هاوس,Supplement reviews,UK,1,Qatar,4,false,30044,1179,12,110,31,non-target country: Qatar,supplements,"Supplements & More⚡️🔋
• For Delivery 🚛 رقم التوصيل واتس اب فقط
• +974 3333 6288‬ 📞 
• Shop Online 🛒 🇶🇦🚀👇🏻تسوق اونلاين"
glpsos,https://www.instagram.com/glpsos/,GLP-1 SOS 💊 Side Effect Relief,Supplement reviews,Unknown,0,,0,false,4488,160,4,10,11,unknown target country; countryConfidence < 1 (0); medianReelViews outside range (160),supplements,"The ONLY supplement for GLP-1 side effects🌱👨🏻‍⚕️ 
Stop constipation, bloating and sulfur burps ❌
Trusted by +10k | MD formulated 🩺"
q8_supplement,https://www.instagram.com/q8_supplement/,مكملات غذائية للبيع,Supplement reviews,Unknown,0,,0,false,27404,301,1,30,12,unknown target country; countryConfidence < 1 (0); medianReelViews outside range (301),supplements,"خدمة التوصيل 🚚 إلي جميع مناطق الكويت  2KD..
يتوفر لدينا أفضل المنتجات بأفضل الأسعار#
للطلب يرجى التواصل عبر الواتساب 👇👇
التوصيل من ١٢ ظهرا إلي ١٢ مساء"
mahoneysupplements,https://www.instagram.com/mahoneysupplements/,MahoneySupplements,Supplement reviews,Unknown,0,,0,false,1649,75,6,10,3,supplementScore < 5 (3); unknown target country; countryConfidence < 1 (0); medianReelViews outside range (75),supplements,"Natural supplements for people mainstream medicine left behind. 
Your Wellness Starts Here.
⬇ Shop Paragon"
complex.supplements,https://www.instagram.com/complex.supplements/,Complex™,Supplement reviews,Unknown,0,,0,false,41163,1070,12,100,6,unknown target country; countryConfidence < 1 (0),supplements,"Built on Science, Made to Perform.
Made in the EU🇪🇺"
petsome_supplements,https://www.instagram.com/petsome_supplements/,Petsome | Dopolnilna krmna mešanica za male živali,Supplement reviews,Unknown,0,,0,false,1254,263,12,20,3,supplementScore < 5 (3); unknown target country; countryConfidence < 1 (0); medianReelViews outside range (263),supplements,"💊 Prehranski dodatki za 🐶 in🐱                          
🧑‍⚕️ @stasstampar 
🇸🇮 slovenski proizvod           
📚 Poučne in strokovne vsebine 🐶🐱"
british_supplements_official,https://www.instagram.com/british_supplements_official/,chris boyle,Supplement reviews,UK,2,,0,true,5225,3186,2,290,6,included,supplements,
gymsupplementneeds_kenya,https://www.instagram.com/gymsupplementneeds_kenya/,Gym Supplements Fitness-We sell gym Supplements and Accessories👊,Supplement reviews,Unknown,0,,0,false,5513,177,12,20,21,unknown target country; countryConfidence < 1 (0); medianReelViews outside range (177),supplements,"💪Authentic Gym Supplements Nairobi
🚚Same-Day Delivery in Nairobi
⭐Creatine|Protein |Pre-Workout
🙌Trusted by 5,000+ Fitness Enthusiasts
🔥Order online⬇️"
supplementworldsask,https://www.instagram.com/supplementworldsask/,Supplement World,Supplement reviews,Unknown,0,,0,false,28389,1963,12,180,18,unknown target country; countryConfidence < 1 (0),supplements,"Local 💯
Best service, largest selection, lowest prices.
-
Try our Shakes!
-
8th Street
Lawson Heights
University Heights
Stonebridge
Blairmore
Warman"
supplementfo,https://www.instagram.com/supplementfo/,فروشگاه ساپلمنت اف او / مکمل های اورجینال ورزشی/بدنسازی,Supplement reviews,US,1,,0,true,26015,225,12,20,3,supplementScore < 5 (3); medianReelViews outside range (225),supplements,"💊اینجا هستیم با ارائه بهترین مکمل های روز دنیا
هدف رضایت شماست  
با احترام 14 روز مهلت استعلام و مرجوع 
هایلایت زرد رضایت شما 
خرید از سایت روی لینک👇🏻"
warriorsupps,https://www.instagram.com/warriorsupps/,WarriorSupps,Supplement reviews,UK,5,,0,true,37819,386,12,30,19,medianReelViews outside range (386),supplements,"🇬🇧 - Elite Pure British Creatine 
🤼 - #1 Creatine in the UK
🧪 - Creatine Plus Electrolytes Sachets Out Now!👇"
supplement_station_lb,https://www.instagram.com/supplement_station_lb/,Supplement station,Supplement reviews,Unknown,0,Lebanon,3,false,26563,1399,12,130,9,unknown target country; countryConfidence < 1 (0),supplements,"Licensed by the Ministry of Health 🏥
📍Jdeideh, Mirna Chalouhi Rd
📍Msharafieh, Near Al-Ilmiyah Bookstore
🚚 Delivery 📞 81088266"
supplement_for_soul,https://www.instagram.com/supplement_for_soul/,supplement for soul®️失眠｜淺睡｜壓力｜情緒管理,Supplement reviews,Unknown,0,,0,false,9357,1629,12,150,5,unknown target country; countryConfidence < 1 (0),supplements,"> 900好評｜極高回購率｜不僅是香氣，更具備真實療效
100%天然複方精油配方｜澳洲進口優質材料
𝑶𝒖𝒓 𝒇𝒐𝒓𝒎𝒖𝒍𝒂𝒔 𝒘𝒊𝒍𝒍 𝒕𝒂𝒌𝒆 𝒈𝒐𝒐𝒅 𝒄𝒂𝒓𝒆 𝒐𝒇 𝒚𝒐𝒖.
-"
insentials.supplements,https://www.instagram.com/insentials.supplements/,INSENTIALS,Supplement reviews,Unknown,0,France,4,false,57588,2110,12,190,15,unknown target country; countryConfidence < 1 (0),supplements,"Smart Supplements
By @amandinedepaepe, Nutrition Scientist
• Healthy living starts in your liver
• Personalised 3-step routine 
• Science-backed 🇧🇪"
herculean.supplements,https://www.instagram.com/herculean.supplements/,HERCULEAN Supplements,Supplement reviews,Unknown,0,,0,false,19865,639,1,60,3,supplementScore < 5 (3); unknown target country; countryConfidence < 1 (0); medianReelViews outside range (639),supplements,"𝐁𝐮𝐢𝐥𝐝𝐢𝐧𝐠 𝐒𝐭𝐫𝐨𝐧𝐠𝐞𝐫 𝐌𝐞𝐧
𝐄𝐚𝐫𝐭𝐡𝐬 𝐌𝐢𝐠𝐡𝐭𝐢𝐞𝐬𝐭 𝐒𝐮𝐩𝐞𝐫𝐟𝐨𝐨𝐝𝐬 𝐔𝐧𝐢𝐭𝐞𝐝
𝐈𝐧 𝟑 𝐏𝐨𝐰𝐞𝐫𝐟𝐮𝐥 𝐆𝐮𝐦𝐦𝐢𝐞𝐬 👇"
primal.fr,https://www.instagram.com/primal.fr/,Primal Supplements,Endurance / HYROX / CrossFit,Unknown,0,France,6,false,17005,4708,12,420,9,unknown target country; countryConfidence < 1 (0),supplements,"🏔 Compléments alimentaires ancestraux
🌱 100% purs · Sans additifs
🇨🇵 Testés en laboratoire français
⭐️ 4.8/5 sur Trustpilot"
supplementsnoop,https://www.instagram.com/supplementsnoop/,Justin Hall,Supplement reviews,US,1,Malaysia,1,false,7439,329,12,30,12,non-target country: Malaysia; medianReelViews outside range (329),supplements,"@myqbrainfood 𝑴𝒚 𝑵𝒆𝒘 𝑩𝒓𝒂𝒏𝒅
Hacked at 68 million
2.4 billion on TikTok"
org_supplementss,https://www.instagram.com/org_supplementss/,مکمل های اورجینال ورزشی,Supplement reviews,Unknown,0,Iran,1,false,22263,428,12,40,6,unknown target country; countryConfidence < 1 (0); medianReelViews outside range (428),supplements,"🔸واردکننده انواع مکمل های ورزشی و ویتامین ها
🔸ارسال به سراسر کشور
🔸با تضمین اصالت  و به شرط مرجوعی
ثبت سفارش از طریق دایرکت و واتساپ:"
equinox_equine_and_canine_uk,https://www.instagram.com/equinox_equine_and_canine_uk/,Equinox Equine & Canine Supple,Supplement reviews,UK,3,,0,true,1352,220,2,20,6,medianReelViews outside range (220),supplements UK,"Multi-beneficial Horse & Dog Supplements
Gastric & Hindgut, Calming, All-round Condition"
ultimatesupplements,https://www.instagram.com/ultimatesupplements/,Ultimate Supplements UK💪🏼🇬🇧,Fitness / gym,UK,5,,0,true,1844,73,12,10,17,medianReelViews outside range (73),supplements UK,True success lies within the supplements💪🏼                                     Find us on Facebook at - Ultimate Supplements 🙌🏼
flebo.uk,https://www.instagram.com/flebo.uk/,Flebo,Supplement reviews,UK,4,,0,true,1803,58,12,10,21,medianReelViews outside range (58),supplements UK,"🩺 Doctor-Led Family Health Brand 
 📚 Health tips, wellness & BTS 
⭐ Trusted by 10,000+ UK families 
⚠️ Not medical advice 
Shop 👇"
simplysupplementsuk,https://www.instagram.com/simplysupplementsuk/,Simply Supplements UK,Supplement reviews,UK,3,,0,true,2009,45,12,0,34,medianReelViews outside range (45),supplements UK,"Premium UK Supplements.
💚B Corp Certified
🌱Nutrition Experts for over 20 years
⭐️Platinum Trusted Service Award 2026
🛒FB15 for 15% off your order"
synoviumuk,https://www.instagram.com/synoviumuk/,Synovium Horse Health UK,Supplement reviews,UK,5,,0,true,2402,171,12,20,8,medianReelViews outside range (171),supplements UK,Leading veterinary horse supplements developed by FEI vets for Clean Sport! #trustwhatyoufeed #poweredbysynovium
gymsupplements.co.uk,https://www.instagram.com/gymsupplements.co.uk/,GymSupplements.co.uk,Supplement reviews,UK,4,,0,true,4715,111,12,10,30,medianReelViews outside range (111),supplements UK,📍 Supplement Store High Wycombe
cleansupplementsuk,https://www.instagram.com/cleansupplementsuk/,Clean Supplements UK ©️,Supplement reviews,UK,2,,0,true,1317,59,12,10,19,medianReelViews outside range (59),supplements UK,"Ultra-Clean Vitamins & Supplements
🇬🇧Made in the UK | No Binders | No Nasties
🍃For Energy, Immunity, Gut & Hormonal Health
🎓90+ Yrs Combined Expertise"
supplement.support,https://www.instagram.com/supplement.support/,Supplement Support,Supplement reviews,Unknown,0,Germany,2,false,6384,77,12,10,19,unknown target country; countryConfidence < 1 (0); medianReelViews outside range (77),supplements UK,"💪Bodyshop BERLIN WEIßENSEE
Seit 2007 für euch da.
10% Rabatt mit Insta10
Tel:030-92093942
Email: Info@supplement-support.de"
esncom.uk,https://www.instagram.com/esncom.uk/,ESN UK 🇬🇧 | Elite Sports Nutrition,Supplement reviews,UK,4,Spain,1,true,57655,2328,12,210,12,included,supplements United Kingdom,"Supplements developed with athletes
Nutrition for real life performance
Lab-verified quality
Science-backed innovation leader"
popeyes_london,https://www.instagram.com/popeyes_london/,Popeye's Supplements London,Supplement reviews,Canada,3,,0,true,1445,121,12,10,13,medianReelViews outside range (121),supplements London,"🔹1920 Dundas Street
📞(519) 951-0011
Online:"
bodyherosupplement,https://www.instagram.com/bodyherosupplement/,BODY HERO SUPPLEMENT SHOP,Supplement reviews,UK,1,,0,true,11017,257,12,20,12,medianReelViews outside range (257),supplements London,"⚠️OPEN 7 DAYS / WEEK
⚠️BEST SERVICE 
⚠️GREAT VIBE
♡FULL DIET PLAN
♡PERSONALISED FOOD
♡REACH YOUR GOAL"
vitaminshock,https://www.instagram.com/vitaminshock/,Vitamin-Shock®,Supplement reviews,UK,2,,0,true,2093,98,12,10,23,medianReelViews outside range (98),supplements London,"SPORTS NUTRITION  🇬🇧 
12 Wordsworth Parade
N80SJ LONDON 
MONDAY - FRIDAY 11-6 PM
SATURDAY - SUNDAY 11-4 PM   
☎️ 07749474316"
naybleltd,https://www.instagram.com/naybleltd/,Nayble Health & Sports,Supplement reviews,UK,5,,0,true,2282,46,12,0,45,medianReelViews outside range (46),supplements London,🌍 Premium Vitamins & #Supplements Shop 🇬🇧 Top Global Brands | Body Composition | Personal Trainer 💪 @simonnayble🔥 DM to book a free consultation now!
